Task,Model,Best_Score,F1_Score,AUC_Score,R2_Score,MAE_Score,Silhouette,Clusters
Classification,Logistic Regression,0.5821141634645258,0.5821141634645258,0.6969399012745755,,,,
Classification,Random Forest,0.6775822608415084,0.6775822608415084,0.7487147491554709,,,,
Classification,Decision Tree,0.6492833204079742,0.6492833204079742,0.7214149339175466,,,,
Classification,SVM,0.5558551391358761,0.5558551391358761,0.6713171910215898,,,,
Classification,KNN,0.49612098492712386,0.49612098492712386,0.674572177900213,,,,
Classification,XGBoost,0.6454662819955612,0.6548429232549633,0.7476496995049347,,,,
Classification,LightGBM,0.6487320601837473,0.6487320601837473,0.7493334972869357,,,,
Classification,Gradient Boosting,0.6300832149875302,0.6300832149875302,0.7374442569911239,,,,
Classification,AdaBoost,0.6597483395070725,0.6597483395070725,0.673585968439618,,,,
Classification,Naive Bayes,0.2169147666630971,0.2169147666630971,0.6261912258854345,,,,
Classification,MLP,0.5551194480125881,0.5551194480125881,0.6795470519556609,,,,
Regression,Linear Regression,-0.005525300710610304,,,-0.005525300710610459,0.7083997842692954,,
Regression,Ridge Regression,0.2700736054990258,,,0.2700736054990258,0.6862542782572897,,
Regression,Lasso Regression,0.279884758603001,,,0.279884758603001,0.674841332738491,,
Regression,ElasticNet,0.2756035862050997,,,0.2756035862050997,0.6764814822898482,,
Regression,Random Forest,0.4747652063620972,,,0.4747652063620972,0.5282512898590177,,
Regression,Decision Tree,0.33478566497470574,,,0.33478566497470574,0.5633883857319628,,
Regression,SVR,0.31404783923105617,,,0.31404783923105617,0.6451227240893831,,
Regression,KNN Regressor,0.2186465532363532,,,0.2186465532363532,0.676064799249253,,
Regression,XGBoost,0.4942387498244922,,,0.48955885831524093,0.5174779737477173,,
Regression,LightGBM,0.4605101327270752,,,0.4605101327270752,0.5468747579587695,,
Regression,Gradient Boosting,0.49725307223152787,,,0.49725307223152787,0.5177958578931499,,
Regression,MLP Regressor,0.15115257775240376,,,0.1511525777524037,0.7141164699269171,,
Clustering,DBSCAN,,,,,,0.7301100456490883,5.0
Clustering,KMeans,,,,,,0.7376172032331433,2.0
